ID,Time,Value_0,Value_1,Value_2,Value_3,Value_4,Value_5,Value_6,Value_7,Value_8,Value_9,Value_10,Value_11,Value_12,Value_13,Value_14,Value_15,Value_16,Value_17,Value_18,Value_19,Value_20,Value_21,Value_22,Value_23,Value_24,Value_25,Value_26,Value_27,Value_28,Value_29,Value_30,Value_31,Value_32,Value_33,Value_34,Value_35,Value_36,Value_37,Value_38,Value_39,Value_40,Value_41,Value_42,Value_43,Value_44,Mask_0,Mask_1,Mask_2,Mask_3,Mask_4,Mask_5,Mask_6,Mask_7,Mask_8,Mask_9,Mask_10,Mask_11,Mask_12,Mask_13,Mask_14,Mask_15,Mask_16,Mask_17,Mask_18,Mask_19,Mask_20,Mask_21,Mask_22,Mask_23,Mask_24,Mask_25,Mask_26,Mask_27,Mask_28,Mask_29,Mask_30,Mask_31,Mask_32,Mask_33,Mask_34,Mask_35,Mask_36,Mask_37,Mask_38,Mask_39,Mask_40,Mask_41,Mask_42,Mask_43,Mask_44
0,1870,34437.0,737.375497284897,3.263084801698734,0.0,0.0,0.0,0.0181121877842565,-2.86e-05,3.3742e-05,1.4543e-05,0.0,5.55e-05,0.0,7.080561638768295,0.0,2.0959e-05,2.0108e-05,1.0695999999999999,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0708056166768074,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,1871,34648.0,742.0053105518356,3.2837162395692956,0.0,0.0,0.0,0.01519062301838813,-9.699999999999999e-06,2.1917e-05,1.7969e-05,0.0,7.2713e-05,0.0,6.746837555797822,0.0,2.2145e-05,1.9235e-05,0.0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06746837496757507,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2,1872,34859.0,746.0053357812903,3.301548437125761,0.0,0.0,0.0,0.011103459874427199,-1.7100000000000002e-05,2.6175e-05,1.7027e-05,0.0,0.000107707,0.0,6.438376943344272,0.0,5.0445e-05,5.773e-05,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06438376754522324,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3,1873,35070.0,751.0122611919019,3.3238386840713425,0.0,0.0,0.0,0.011269973928440423,-1.59e-05,2.8106999999999997e-05,2.1635e-05,9.01e-05,0.000141464,0.0,6.535853073557329,0.0,8.5507e-05,6.2679e-05,0.9539,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06535853445529938,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4,1874,35235.0,756.179934723996,3.3467509844200567,5.3555,0.0,0.0,0.013097844112267396,-2.0399999999999998e-05,2.3462e-05,1.9317e-05,0.0001049,0.00014579,0.0,6.616644898892918,0.0,7.3446e-05,8.227e-05,0.9823999999999999,0,0,0,3.083e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06616644561290741,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
5,1875,35436.0,809.8543853708094,3.585723166790127,5.5482,0.0005616778846153846,0.0,0.01445644741660256,-2.5e-05,2.9976000000000002e-05,1.8611e-05,0.0001003,0.000148854,0.0,6.418626107071833,0.103351851851852,6.9483e-05,6.9203e-05,1.003,0,0,0,2.63e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06418626010417938,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
6,1876,35713.0,784.5602441687901,3.472820474121577,5.5651,0.0005512764423076924,0.0,0.012098759788188057,-8.1e-06,2.3965000000000002e-05,2.7711999999999998e-05,0.00010779999999999999,0.000162286,0.0,6.460819204977816,0.10174905660377359,5.9481e-05,5.9309e-05,1.044,0,0,0,2.65e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06599999964237213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06460819393396378,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
7,1877,36018.0,802.6542284413349,3.553583740961614,5.6966,0.0005294334134615385,0.0,0.012484769640673257,-1.64e-05,2.7421e-05,2.3349e-05,0.00012109999999999999,0.000175758,0.0,6.460285034992886,0.4679567779960707,5.2338e-05,4.8428e-05,1.0308,0,0,0,1.0243e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05999999865889549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06460285186767578,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
8,1878,36315.0,793.7491394740466,3.513875998728323,5.6561,0.0006168055288461538,0.0,0.0139758273061553,-2.18e-05,3.2875e-05,2.5968000000000003e-05,0.00016869999999999998,0.000219621,0.0,6.4134822479576865,0.4255716694772344,6.2444e-05,6.0941e-05,1.0801,0,0,0,1.8886e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0575999990105629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06413482129573822,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
9,1879,36557.0,835.4077194518151,3.699455263996186,5.9314,0.0007915497596153846,0.0,0.018630651997888582,-1.95e-05,3.2953e-05,2.8176000000000003e-05,0.0001681,0.000212607,11.32,6.403564096222673,0.3287752956636006,6.2152e-05,6.0318e-05,1.1215000000000002,0,0,0,5.7588e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04800000041723251,0.0,0.0,0.0,0.0,0.0,0.549575686454773,0.0,0.0,0.0,0.0,0.06403563916683197,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
10,1880,36807.0,863.3955497595566,3.824280646891442,6.3093,0.0007624257211538462,0.0,0.021344074196240424,-2.37e-05,3.6627e-05,2.8395e-05,0.000163,0.00019865,9.86,6.425636000000001,0.34016098226466585,6.3367e-05,6.3141e-05,1.0971,0,0,0,6.938e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06400000303983688,0.0,0.0,0.0,0.0,0.0,-0.10831531882286072,0.0,0.0,0.0,0.0,0.06425636261701584,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
11,1881,37112.0,829.3004957965079,3.6719812386911674,6.0151,0.0008258745192307694,0.0,0.023512541308730806,-1.3199999999999999e-05,3.1191e-05,3.1058999999999995e-05,0.0001584,0.000191455,10.95,6.185506,0.3099836272040302,7.149e-05,7.146e-05,1.1299435028248588,0,0,0,9.478e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.30596640706062317,0.057999998331069946,0.0,0.0,0.0,0.0,0.0,0.10600575804710388,0.0,0.0,0.0,0.0,0.06185505911707878,0.0,0.0,0.0,0.18198320269584656,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
12,1882,37414.0,844.1759769070402,3.738437277259157,6.0462,0.0007780278846153848,0.0,0.021881460461464913,-1.1e-06,2.9447e-05,3.7722e-05,0.0001509,0.000186422,8.4,6.331536,0.32153877005347586,7.3508e-05,7.348e-05,1.1363636363636365,0,0,0,9.1801e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.06588008254766464,0.06400000303983688,0.0,0.0,0.0,0.0,0.0,-0.2809463143348694,0.0,0.0,0.0,0.0,0.06331536173820496,0.0,0.0,0.0,0.06494004279375076,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
13,1883,37766.0,837.2080707514696,3.707230931535343,5.9226,0.0007385024038461539,0.0,0.018800950462220287,-2.3e-06,2.8445e-05,3.6268e-05,0.0001416,0.000181591,10.22,6.296513,0.32065070422535213,8.3107e-05,8.3107e-05,1.1396011396011396,0,0,0,9.435e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.3138205409049988,0.0560000017285347,0.0,0.0,0.0,0.0,0.0,-0.019509419798851013,0.0,0.0,0.0,0.0,0.06296513229608536,0.0,0.0,0.0,0.18491026759147644,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
14,1884,38138.0,835.7019245896481,3.7004920196680744,6.2304,0.0007728271634615385,0.0,0.01818787599062615,-8e-06,2.9673e-05,3.3871e-05,0.00013030000000000002,0.000177689,10.95,6.27267,0.32551951547779273,7.667e-05,7.6663e-05,1.1560693641618498,0,0,0,0.000100874,0.0,0.0,0.0,0.0,0.0,0.0,0.07788658887147903,0.05000000074505806,0.0,0.0,0.0,0.0,0.0,0.04891495779156685,0.0,0.0,0.0,0.0,0.0627266988158226,0.0,0.0,0.0,0.0639432966709137,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
15,1885,38427.0,860.12439170375,3.809455040783451,5.8714,0.0008654,0.0707196029776675,0.018195444811263114,-2.8e-06,2.9357e-05,3.7147e-05,0.000133,0.000184807,9.13,6.264662,0.3060186104218362,6.2157e-05,6.1115e-05,1.2232415902140672,0,0,0,9.3228e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.09043934941291809,0.05400000140070915,0.0,0.0,0.0,0.0,0.0,-0.036635249853134155,0.0,0.0,0.0,0.0,0.06264661997556686,0.0,0.0,0.0,0.07221967726945877,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
